User_Name,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range
iamsrk,0.661776505,0.639484473,0.89309668,0.8695601,0.521444866
imVkohli,0.659520206,0.894094731,0.06658068,0.209753196,0.128992877
iHrithik,0.930559569,0.664317468,0.105980784,0.743218941,0.567016279
aamir_khan,0.777036656,0.494215243,0.009136601,0.791666812,0.991120618
sachin_rt,0.774638785,0.811637317,0.60667862,0.76777074,0.552905766
narendramodi,0.220164134,0.821073922,0.593153634,0.343960461,0.931290729
BarackObama,0.814280844,0.891417888,0.550104625,0.652230105,0.585213371
SrBachchan,0.970448933,0.662172017,0.110281553,0.187593356,0.231916223
BeingSalmanKhan,0.213072773,0.213228966,0.096015356,0.392826115,0.144088385
deepikapadukone,0.763439542,0.762191148,0.703108397,0.934965313,0.919887575
priyankachopra,0.816986531,0.746574577,0.937568613,0.694203819,0.90216813
akshaykumar,0.354274121,0.911831016,0.373648537,0.86967558,0.38800293
PMOIndia,0.301409754,0.294274294,0.556907882,0.278900873,0.942264555
karanjohar,0.758848536,0.427877549,0.25416445,0.105516656,0.975410301
aliaa08,0.80505812,0.749800821,0.173476766,0.78328823,0.466368938
chetan_bhagat,0.567195663,0.735677244,0.50914573,0.621651929,0.356812576
timesofindia,0.343512961,0.67535521,0.037589101,0.14261624,0.999097092
ladygaga,0.865546902,0.413870498,0.361483362,0.063977617,0.193683447
TheEllenShow,0.974692839,0.814853426,0.896003548,0.713513324,0.739491694
realDonaldTrump,0.896642342,0.861784659,0.600503685,0.636830199,0.407983698
KimKardashian,0.989264854,0.605805172,0.584995724,0.410968699,0.890276529
selenagomez,0.442996151,0.833506305,0.665370064,0.733044974,0.992658552
jimmyfallon,0.360246797,0.912876397,0.881594871,0.840958586,0.07194919
shakira,0.130072308,0.269593342,0.39084776,0.243408298,0.977405964
cnnbrk,0.974736644,0.983288494,0.945899278,0.562095197,0.000758712
Cristiano,0.007895801,0.563963256,0.569341563,0.23050146,0.990174852
rihanna,0.946835795,0.958413565,0.448831812,0.458658319,0.270971347
katyperry,0.597122492,0.956823817,0.761776468,0.254714093,0.330749679
nytimes,0.897353029,0.771545544,0.382628424,0.265027739,0.321654134
JLo,0.74299058,0.570351278,0.898808215,0.390889911,0.222073533
CNN,0.825202722,0.525791423,0.603307878,0.090159061,0.032698195
Oprah,0.884994385,0.979233399,0.804008126,0.5750703,0.288653194
KevinHart4real,0.41764624,0.94506035,0.707505158,0.140760756,0.884473237
wizkhalifa,0.469411341,0.232620781,0.359323818,0.016260064,0.605273225
KylieJenner,0.903279173,0.889539743,0.525120838,0.843346003,0.045653507
NBA,0.624467597,0.598753987,0.267842274,0.179267219,0.06858307
elonmusk,0.747510448,0.250047979,0.01428375,0.017958096,0.521237593
KourtneyKardash,0.595464913,0.927301975,0.922492523,0.717114376,0.562422076
priyankachopra,0.816986531,0.746574577,0.937568613,0.694203819,0.90216813
NFL,0.23718362,0.356083317,0.37342026,0.22843023,0.227026256
HilliaryClinton,0.791300205,0.400308258,0.358756403,0.249548148,0.577227305
thekiranbedi,0.988263501,0.634446921,0.122901499,0.138686289,0.227786607
KapilSharmaK9,0.018025602,0.792354098,0.319922512,0.869921868,0.255335374
TheVijayMallya,0.771110955,0.663264164,0.592933407,0.500278726,0.164994832
msdhoni,0.156981378,0.297133652,0.011779316,0.119525036,0.608865961
NiallOfficial,0.154872052,0.358675393,0.421914896,0.955188174,0.668187682
coldplay,0.737372456,0.558032702,0.466492569,0.29580223,0.867801816
ricky_martin,0.16803855,0.271865539,0.391986684,0.255043807,0.294753165
NICKIMINAJ,0.383515457,0.263313384,0.156191377,0.028979709,0.451055338
blakeshelton,0.5384986,0.953999476,0.450489356,0.411755509,0.046704901
AnushkaSharma,0.988425723,0.750973746,0.409911989,0.701479019,0.207352978
ManUtd,0.065291418,0.857014879,0.014361425,0.165844707,0.991587638
Reuters,0.663044369,0.590751633,0.557535696,0.23251365,0.844655127
AvrilLavigne,0.145204109,0.734725333,0.695384137,0.856433212,0.395499152
MariahCarey,0.268540576,0.796121651,0.20625255,0.09018197,0.142040028
arrahman,0.507363696,0.852887885,0.337919542,0.967385943,0.606357928
ShawnMendes,0.493499519,0.823840228,0.996987448,0.998683718,0.19468964
MesutOzil1088,0.160877038,0.831746005,0.236067687,0.874126561,0.767587389
andresiniesta8,0.272993883,0.279183756,0.413720315,0.259154403,0.8584447
pitbull,0.080449173,0.757160687,0.788992942,0.342734062,0.81212498
ActuallyNPH,0.765154369,0.683791572,0.269989617,0.263159352,0.38702634
KendallJenner,0.757381391,0.986423537,0.692992994,0.828240249,0.17770459
aliciakeys,0.941961267,0.423908412,0.817548576,0.582515507,0.940335746
onedirection,0.278112201,0.968904795,0.785812942,0.997712353,0.855457354
LiamPayne,0.092430586,0.837024757,0.367476888,0.28741836,0.574764569
Pink,0.781046263,0.190481222,0.923459013,0.977729167,0.368851407
KylieJenner,0.694265318,0.781745611,0.801145059,0.381667615,0.610125975
Louis_Tomlinson,0.338139676,0.662036119,0.134411085,0.243167681,0.58645957
potus,0.797178743,0.968557957,0.343585153,0.489616075,0.127055587
LilTunechi,0.170974848,0.424117822,0.193135227,0.128187632,0.939920762
Harry_Styles,0.4335553,0.892184462,0.811637737,0.544641919,0.861465436
ddlovato,0.154938735,0.523214803,0.942070419,0.722881195,0.865840836
aplusk,0.281034525,0.773966616,0.257877527,0.187505861,0.253472457
Usher,0.331866583,0.302822943,0.444734516,0.542346219,0.9980969
paulocoelho,0.019878823,0.279897732,0.348718918,0.262626937,0.793267516
radityadika,0.163151044,0.220912647,0.339898616,0.278122523,2.79E-07
Ludacris,0.226942733,0.735963981,0.525220153,0.191548985,0.253370551
juanes,0.337767266,0.3181947,0.429024078,0.244200646,0.789068448
LucianoHuck,0.093352851,0.228956855,0.362242389,0.275990892,0.936963888
